cluster	gene	pct.1	pct.2	avg_log2FC	p_val	p_val_adj
0	Col3a1	0.83	0.624	1.5011338301685	0	0
0	Lgals1	0.884	0.686	1.24252686152943	0	0
0	Sparc	0.792	0.654	1.11655859520769	0	0
0	Col1a1	0.792	0.632	1.01171559178669	2.63738491401422e-298	5.54035448886968e-294
0	Col1a2	0.78	0.614	1.03957761331422	6.88839223567037e-294	1.44704455694727e-289
0	Col6a1	0.558	0.42	1.35004406662866	6.78017825443403e-261	1.42431204590896e-256
0	Gm42418	0.999	0.999	0.521603773619175	2.44876382839267e-227	5.14411817430448e-223
0	Dpt	0.271	0.102	1.20238653458837	1.50397209483177e-224	3.1593941796131e-220
0	Vim	0.812	0.714	0.610908456179899	1.31866411262488e-193	2.77011770139108e-189
0	Col6a2	0.509	0.403	1.2834155180956	3.14155693968123e-188	6.59946866318837e-184
0	S100a6	0.621	0.554	1.24536525927189	1.73914862697414e-180	3.65342952068458e-176
0	Dcn	0.576	0.464	1.14335356776216	1.03108178350955e-160	2.1659935026185e-156
0	Fstl1	0.634	0.587	0.955775906542577	1.23507655015565e-146	2.59452530891198e-142
0	Bgn	0.552	0.483	1.01497878816776	1.19487840711649e-139	2.51008106982961e-135
0	Col6a3	0.519	0.454	1.14061746138218	3.27693821778372e-138	6.88386411409826e-134
0	Cdkn1c	0.66	0.627	1.11222125382892	1.06249829741821e-129	2.23199017338643e-125
0	Cd63	0.625	0.636	0.864745081572611	4.47570108745634e-129	9.40210527441952e-125
0	S100a10	0.606	0.616	0.995977466246432	2.92016058502197e-125	6.13438134095566e-121
0	Nme2	0.713	0.733	0.652312273443239	4.90537137548069e-124	1.03047136484723e-119
0	Gnas	0.84	0.878	0.449859576665434	1.55174337372519e-121	3.2597473051845e-117
0	Col5a2	0.597	0.551	0.829019735865665	2.84770094243634e-121	5.98216536977602e-117
0	Gas1	0.498	0.449	1.16701640880674	8.70923721112728e-114	1.82954946094151e-109
0	Smim10l1	0.141	0.346	0.253597498506073	1.10372252411415e-110	2.31858990640659e-106
0	Zfp260	0.144	0.352	0.263172959890298	8.50310644801321e-110	1.78624757153414e-105
0	Tbx15	0.262	0.149	1.26627517073563	1.15251667288447e-108	2.42109177472841e-104
0	Aspn	0.492	0.38	0.936040669617503	2.15670390745212e-108	4.53058789838467e-104
0	Rps8	0.972	0.959	0.300844282054081	3.76003773272212e-103	7.89871126512935e-99
0	Postn	0.6	0.512	0.852608149665293	7.68568308410357e-103	1.61453144547764e-98
0	Srp19	0.209	0.458	0.260216231828147	7.81133359672532e-102	1.64092684866409e-97
0	Tomm5	0.181	0.41	0.266857108662958	7.87965156295369e-102	1.65527840382968e-97
0	2900097C17Rik	0.168	0.385	0.305768071406552	1.60274108756727e-101	3.36687820265257e-97
0	Fam92a	0.156	0.362	0.254583068824236	2.14864653728755e-101	4.51366178087995e-97
0	Cfl2	0.152	0.358	0.269676108181662	2.29840910948218e-101	4.82826801628921e-97
0	Arcn1	0.172	0.389	0.293276612323004	1.85304085629372e-99	3.89268292681621e-95
0	Hook3	0.209	0.453	0.255111409040519	2.9062838026891e-98	6.10523038430899e-94
0	Svbp	0.188	0.416	0.262606739395933	2.56248540161311e-97	5.38301308316866e-93
0	Igf2	0.546	0.541	1.07346716543294	3.58497471462034e-97	7.53095638300296e-93
0	Ctdsp2	0.155	0.356	0.300882273697355	8.3702122621486e-96	1.75833048990956e-91
0	Mcrip1	0.213	0.458	0.285116915003487	1.06016370569499e-95	2.22708589655346e-91
0	Chmp2b	0.148	0.344	0.330602408335038	1.46260860416852e-95	3.07250189477682e-91
0	Rpl13	0.964	0.961	0.279839210947147	7.67351175161198e-95	1.61197461366113e-90
0	Sra1	0.149	0.339	0.300095845406394	1.8162819423469e-92	3.81546347628813e-88
