cluster	gene	pct.1	pct.2	avg_log2FC	p_val	p_val_adj
0	Spib	0.885	0.165	3.59868721755837	0	0
0	Ptprcap	0.968	0.256	2.42963615925375	0	0
0	Siglecg	0.911	0.201	3.32983878185258	0	0
0	Cd79a	0.995	0.294	3.45051191250737	0	0
0	Pafah1b3	0.927	0.233	2.77694926967947	0	0
0	Ly6d	0.903	0.209	4.15366280554012	0	0
0	Cd79b	0.999	0.305	3.56200309384118	0	0
0	Fcrla	0.857	0.164	3.20198258789331	0	0
0	Ebf1	0.992	0.304	3.18363565245295	0	0
0	Pax5	0.825	0.144	2.98673953017808	0	0
0	Cnp	0.903	0.229	2.90114746625894	0	0
0	Atp1b1	0.82	0.155	3.78912875432471	0	0
0	Arl5c	0.864	0.207	3.40001982624943	0	0
0	Mzb1	0.855	0.198	2.26867038555092	0	0
0	Pou2af1	0.813	0.159	2.69033589356289	0	0
0	Bach2	0.809	0.157	2.89685065282771	0	0
0	Cd72	0.835	0.188	3.20837943650074	0	0
0	Vpreb3	0.982	0.339	3.01509126552164	0	0
0	Rhoh	0.833	0.191	3.10681476246143	0	0
0	Foxp1	0.94	0.3	2.74224770324706	0	0
0	Chchd10	0.964	0.331	2.63039044910784	0	0
0	Fam129c	0.772	0.147	3.59221871604595	0	0
0	Cd37	0.978	0.363	3.01957483692248	0	0
0	Blnk	0.775	0.16	2.50736360940138	0	0
0	Bcl7a	0.793	0.18	2.83206025710366	0	0
0	Slamf6	0.738	0.135	3.07958226991367	0	0
0	Dnajc7	0.924	0.335	3.64249075269876	0	0
0	Cecr2	0.75	0.164	2.98161266664784	0	0
0	Dusp2	0.706	0.134	3.8881283599142	0	0
0	Sox4	0.774	0.208	2.55010364121805	0	0
0	Lrmp	0.867	0.302	2.20375217436942	0	0
0	Iglc3	0.636	0.072	3.93996223118903	0	0
0	Plekha2	0.785	0.223	2.62933439559838	0	0
0	Igkc	0.916	0.365	3.48069793687841	0	0
0	Syk	0.858	0.307	2.44809981177014	0	0
0	Akap12	0.688	0.139	2.75388389670556	0	0
0	Btg1	0.971	0.422	2.83352287227283	0	0
0	Cd19	0.695	0.147	2.9233769190491	0	0
0	Tcf3	0.828	0.286	2.11132816002563	0	0
0	Klf2	0.867	0.332	2.52307723720242	0	0
0	Snn	0.665	0.131	2.9958813456981	0	0
0	Mtss1	0.694	0.163	2.80709727949302	0	0
0	Fam53b	0.833	0.306	2.45150386967877	0	0
0	Pkig	0.857	0.332	1.73700264278242	0	0
0	C1galt1	0.745	0.227	2.77838993147144	0	0
0	Smim14	0.877	0.36	2.00783622901194	0	0
0	Unc93b1	0.849	0.336	1.85896280608016	0	0
0	Btg2	0.867	0.362	2.34920340147172	0	0
0	Tnfrsf13c	0.597	0.092	3.9376315858796	0	0
0	Ikzf3	0.567	0.063	4.27205357834182	0	0
0	Ighm	0.999	0.495	3.07671401905887	0	0
0	Cytip	0.763	0.262	2.25272733141651	0	0
0	Arhgap17	0.732	0.232	2.5605360951411	0	0
0	Zeb2	0.817	0.32	1.85437688484861	0	0
0	Ifi209	0.674	0.179	2.35458939523133	0	0
0	Ptp4a3	0.874	0.38	2.0344488781972	0	0
0	Apobec3	0.827	0.333	1.98174306420878	0	0
0	Tifa	0.735	0.248	2.56424511805302	0	0
0	Chst3	0.596	0.11	3.17731471587508	0	0
0	Smarca4	0.801	0.32	2.02576358477978	0	0
0	Jund	0.948	0.467	2.56272217855004	0	0
0	Lsp1	0.842	0.362	1.07032810907149	0	0
0	Ly6e	0.982	0.503	1.510853419524	0	0
0	Ralgps2	0.636	0.158	2.71700022737255	0	0
0	Ablim1	0.591	0.114	2.96524995540117	0	0
0	Gm26740	0.711	0.236	2.23298261217103	0	0
0	Rpl13a	0.863	0.39	1.51094195809687	0	0
0	Cerk	0.669	0.197	2.66650559961609	0	0
0	Rag1	0.553	0.083	4.01071369948956	0	0
0	Arpc5l	0.827	0.358	1.64130105528453	0	0
0	Gimap1	0.566	0.1	2.83577275908944	0	0
0	mt-Nd3	0.978	0.513	1.22032880687604	0	0
0	Tmem131l	0.728	0.266	2.27026476396913	0	0
0	Selenow	0.84	0.379	1.33353985953158	0	0
0	Myb	0.691	0.239	2.02340561141029	0	0
0	Eif3f	0.956	0.506	1.35267979909505	0	0
0	Nol7	0.836	0.386	1.3666800172842	0	0
0	Klhl24	0.72	0.271	2.27607365439362	0	0
0	Dok3	0.762	0.314	2.00729583355508	0	0
0	Tmsb10	0.997	0.55	1.91831534310545	0	0
0	Dgkd	0.669	0.223	2.51287873565568	0	0
0	Xrcc6	0.634	0.188	2.65010310546883	0	0
0	4930523C07Rik	0.731	0.286	2.04091764656394	0	0
0	Serinc5	0.591	0.149	3.05132885067209	0	0
0	Pold4	0.718	0.276	1.91193542692511	0	0
0	Cox7a2l	0.884	0.444	1.59792822740209	0	0
0	Ifi203	0.612	0.174	2.16884399827744	0	0
0	Pou2f2	0.574	0.136	2.98717794690328	0	0
0	Elf1	0.726	0.289	1.90887795292932	0	0
0	Camk2d	0.614	0.18	2.18095060309882	0	0
0	Myl4	0.593	0.162	1.55131327833279	0	0
0	Hnrnpa0	0.85	0.424	1.19054271195842	0	0
0	Csk	0.737	0.312	1.77204648677731	0	0
0	Cd74	0.637	0.215	2.51051419263357	0	0
0	Limd2	0.843	0.421	1.50753192234346	0	0
0	Sec63	0.657	0.238	2.58768091021949	0	0
